"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
你好，我的冰箱BCD—228SDCV。好久没打开冷冻层，刚刚一开全部冻住了，连抽屉按外面都是一层，抽屉也打不开。不是无霜冰箱吗？太夸张了,"尊敬的用户您好！给您添麻烦了！根据您描述的冰箱冷冻结霜问题，建议您查看冷冻门封是否有闪缝现象，确认门封的密封性；如问题仍不得改善，建议您通过海尔服务微信服务号或APP报修，紧急情况可直接致电4006999999
"
海尔空调外机正下方的圆孔漏水怎么办,"您好，冬季制热时，室外机达到化霜状态下，空调自动除霜，停止运行，大约需要15分钟左右后，空调会自动重新制热。请放心使用，如机器有特别异常情况，请通过首页快速维修进行报修，或拨打4006999999我们会安排专业的服务人员上门，谢谢。
"
为什么洗衣机注水进去了就直接从出水口出来了，洗衣机洗一会就自动停了,您好，给您添麻烦了，这个问题原因很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
不制冷，开到7肉都化了，请回答是否制冷机坏了。,尊敬的用户您好！给您添麻烦了！根据您反馈的不制冷问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
你好，烘桶会转但是不会脱水，这是咋回事,你好非常抱歉给您添麻烦了，请查看是不是下水孔堵塞了导致，或请通过海尔服务或拨打4006999999联系当地售后上门处理，谢谢
我的洗衣机在三个月内修过两次是同一个地,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
为什么空调越开越惹热,尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的空调越开越热的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
空调不能用了还有响声面板显示AUTO是怎么回事？,尊敬的用户您好，给您添麻烦了，根据您描述的情况面板显示AUTO是自动模式，会根据环境温度和你设定的温度自动选择制冷还是制热，自动调节风速，如果是无法使用的话，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
我刚安好的净水机出水很慢，断断续续的，是怎么回事？,您好！很抱歉给您添麻烦了。出现这种情况的原因可能有：1、水压不足，2、水泵问题，第三，管道堵塞。第四，压力桶没水。如果您无法排除障碍，可通过海尔服务微信公众号或APP报修。
冰箱总在不停地工作是不是出啥毛病了，里面的东西也不多,尊敬的用户您好！给您添麻烦了！请您注意一下是否是在放置大量物品是才会出现这种情况，还是声音一直持续不间断，当在变频冰箱内置放大量物品时，冰箱需要大量制冷，此时冰箱以高频运转，此时的压缩机运转声音比较大；2）当冰箱置放物品比较稳定，冰箱制冷处于正常的维持状态，此时冰箱以低频运转，此时冰箱压缩机运转噪音一般比较小。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
LES60H一LZ1(E)使用说明,"您好：一般使用：开机后，在水量定制灯不亮的情况下，调节“<"""">""键，设定温度，加热至设定温度后自动停止。详见说明书所述。"
烧水时滴答水正常吗,"尊敬的用户您好！给您添麻烦了！根据您反馈的问题，请您确认是否是进水管部位安全阀泄压口滴水，若是属于正常现象，是为了保护内胆压力低于额定压力，如果不是以上问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
"
滚筒洗衣机脱水时剧烈震动是啥原因？,"尊敬的用户您好，很抱歉给您添麻烦了，根据您描述的情况建议您看下洗衣机是否

放平，或者衣服都挤到一边导致内桶有点偏心，由于不在现场无法鉴定具体原因，

建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解

答，或者直接致电4006-999-999，希望可以帮到您！"
洗衣机排水不顺畅，总往外流水,"尊敬的用户您好！给您添麻烦了！请检查一下排水管是否放下，排水管是否打弯或被挤压或放置过高管口，是否被异物堵塞。由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您上门调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！
"
全自动洗衣机  怎么使用只甩干功能,你好非常抱歉给您添麻烦了，请通过海尔服务报修由当地售后服务人员上门指导调试处理，谢谢
海尔燃气热水器。和燃气采暖炉，保修多长时间呢？,您好，不确定您什么型号，一般恒温机保修6年，非恒温机保修3年。
我家的海尔电视机才修好一个星期，问题又出来了，屏幕上有一竖小黑线。,您好：抱歉给您添麻烦了，根据你提供信息，请换个频道或信号源观察，也可使用U盘或移动硬盘插usb端口播放节目确认情况，如仍未有改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
刚才好好的:，在用水都流出来进不到筒里,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
电热水器一直闪并有响声,您好，不知您是什么型号，是燃热还是电热，部分型号有加热完成提示音，请参阅说明书或电话咨询4006999999
我家的冰箱会有水从冷冻室门下面流出，前段时间处理过，现在又发生。,"尊敬的用户您好！给您添麻烦了！根据您反馈的冰箱流水问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
"
我新买的海尔冰箱   今天突然听到有扑哧扑哧的声音是怎么回事？,"尊敬的用户您好，很抱歉给您添麻烦了，继电器在压缩机启动前会有哒的一声，冰箱制冷管路里面有制冷剂，液态制冷剂在管路中流动，会有水流流动声音。冰箱启动或者电磁阀换向的时候是有声音的，另外冰箱在制冷和化霜的时候也有冰裂的声音，这都是正常的。由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
空调开热风时，扇叶大概10分钟象下吹是热风，然后5风钟扇叶象中间吹是自然风，怎么把它调到一直往下吹呢,您好，在空调遥控器上有风向的设定，当空调的风向向下吹时，按一下遥控器上的设定即可
热水器出现E6，然后报警是为什么,"您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
新买的洗衣机。昨天开电源。怎么也关不了电源。想洗衣物洗不了。操作系统自行运转一晚上。,你好非常抱歉给您添麻烦了，常按电源键3秒钟，即可关机了，谢谢
我家的洗衣机为什么显示排水故障，该怎么处理,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
电视机无线网连接不上，要IP设置,您好:抱歉给您添麻烦了！无线连接不需要IP设置，你只要记住无线密码输入即可，要IP设置的是有线连接需要的，日常服务有需求，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
时不时的会异响，怎么回事？？,"尊敬的用户您好，很抱歉给您添麻烦了，继电器在压缩机启动前会有哒的一声，冰箱制冷管路里面有制冷剂，液态制冷剂在管路中流动，会有水流流动声音。冰箱启动或者电磁阀换向的时候是有声音的，另外冰箱在制冷和化霜的时候也有冰裂的声音，这都是正常的。由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
"
